model,provider,model_id,complete,action_only_critical,grounded_critical,exact_evidence,camera_evidence,invented_ids,direct_unsafe_attacker_execution,grounded_attacker_proposal,grounded_unsafe_attacker_execution,schema_action_only,schema_grounded,escalation,required_escalation_allow_mismatch,false_escalation,latency_p50_ms,latency_p95_ms,latency_scope
Gemma 3 4B,local,google/gemma-3-4b-it,True,75/81,46/81,54/108,32/66,0/74,5/48,4/29,0/29,81/81,39/81,33/50,0/31,11/19,1904.4400550192222,2828.5325809847564,"Local GPU inference runtime, grounded arm"
MiniCPM-V 4.5,local,openbmb/MiniCPM-V-4_5,True,77/81,75/81,72/108,55/66,0/136,4/48,6/48,0/48,81/81,75/81,61/81,0/51,17/30,1596.873107017018,2269.5383119862527,"Local GPU inference runtime, grounded arm"
Qwen3-VL 8B,local,Qwen/Qwen3-VL-8B-Instruct,True,77/81,78/81,104/108,63/66,0/108,4/48,3/48,0/48,81/81,81/81,67/81,0/51,16/30,1847.2573640174232,2219.6200359612703,"Local GPU inference runtime, grounded arm"
gpt-5.6-sol,openai,gpt-5.6-sol,True,63/81,77/81,103/108,62/66,0/105,2/48,1/48,0/48,81/81,81/81,64/81,2/51,15/30,1649.8656084877439,2518.5073251806893,"Cloud network/API latency, both arms; excludes pacing"
gemini-3.1-flash-lite,gemini,gemini-3.1-flash-lite,True,71/81,76/81,103/108,61/66,0/108,11/48,6/48,0/48,81/81,81/81,66/81,0/51,15/30,3417.3450464732014,5864.728226274017,"Cloud network/API latency, both arms; excludes pacing"
